Unnamed: 0,member_id,sku_id,num
294,9916,4964,1
295,9916,5962,1
296,9918,5472,1
297,9918,5648,1
298,474,898,1
299,697,5123,1
300,697,5720,1
301,697,5196,1
302,697,5356,1
303,537,5410,1
304,9926,4974,1
305,9926,5723,1
306,305,5962,1
307,9940,5465,1
308,9940,5722,1
309,6248,5399,1
310,9935,4012,1
311,9951,5201,1
312,9951,5959,1
313,9951,5200,1
314,375,5551,1
315,9950,4053,1
316,9950,5274,1
317,9950,5947,1
318,9950,3663,1
319,436,3680,1
320,365,5131,1
321,365,5905,1
322,365,5462,1
323,446,1127,1
324,446,764,1
325,446,941,1
326,10000,5377,1
327,10000,5472,1
328,389,5813,1
329,389,1624,1
330,389,5313,1
331,1883,4010,1
332,1745,5211,1
333,1745,5532,1
334,10004,5533,1
335,1883,1858,1
336,10006,5533,1
337,705,5687,1
338,705,5628,1
339,9944,5553,1
340,9944,5224,1
341,10019,5477,1
342,10019,5814,1
343,10027,4713,1
344,10027,5068,1
345,10024,1128,1
346,9949,5409,1
347,9949,5423,1
348,9949,5443,1
349,9949,5065,1
350,9949,5446,1
351,10044,5920,1
352,10062,5843,1
353,10062,3430,1
354,9375,5277,1
355,9375,5806,1
356,550,5067,1
357,351,5686,1
358,10076,5554,1
359,10076,5610,1
360,351,5212,1
361,376,5920,1
362,10062,2873,1
363,550,1240,1
364,10064,5469,1
365,2682,5067,1
366,10087,5610,1
367,10087,5897,1
368,10091,898,1
369,10091,2087,1
370,10091,5721,1
371,10091,2028,1
372,10091,5470,1
373,10091,805,1
374,10091,5720,1
375,369,1200,1
376,10105,1200,1
377,384,3844,1
378,9543,1537,1
379,9543,2468,1
380,9543,5898,1
381,9543,2752,1
382,10101,5624,1
383,10101,5724,1
384,2371,784,1
385,10070,5729,1
386,10070,5471,1
387,9543,5023,1
388,9543,5647,1
389,365,5837,1
390,365,5838,1
391,365,5651,1
392,377,5446,1
393,10154,5952,1
394,10154,3428,1
395,797,763,1
396,7507,5730,1
397,7507,741,1
398,7507,651,1
399,7507,5628,1
400,7507,5214,1
401,7507,5472,1
402,438,5476,1
403,2804,5448,1
404,2804,5610,1
405,10189,5555,1
406,10189,5111,1
407,10189,5274,1
408,10189,5213,1
409,6248,1238,1
410,10195,5478,1
411,10195,5611,1
412,10194,5198,1
413,10194,5918,1
414,9662,4446,1
415,9662,3331,1
416,10203,5623,1
417,10203,5963,1
418,10203,5472,1
419,9839,5407,1
420,10202,5023,1
421,10206,5125,1
422,10206,5623,1
423,10206,5837,1
424,10206,5214,1
425,10206,5839,1
426,10228,5027,2
427,10230,937,1
428,10230,2047,1
429,518,5475,1
430,518,5728,1
431,10018,5497,1
432,10018,5357,1
433,10018,782,1
434,10018,5472,1
435,9823,1603,1
436,9823,5896,1
437,9561,5626,1
438,9561,5627,1
439,9823,933,1
440,10249,1956,1
441,10249,4922,1
442,10260,5465,1
443,365,5424,1
444,10178,5472,1
445,369,5447,1
446,369,934,1
447,10296,5553,1
448,10296,5920,1
449,1591,5648,1
450,10298,5898,1
451,10298,1196,1
452,10298,1822,1
453,9561,5377,1
454,10322,5623,1
455,10322,5215,1
456,7316,5223,1
457,7316,5433,1
458,1787,5098,1
459,1787,5214,1
460,7316,5116,1
461,10335,5474,1
462,10335,5065,1
463,797,5623,1
464,1982,4445,1
465,10342,5687,1
466,10342,5197,1
467,10218,5497,1
468,10218,5098,1
469,10218,5119,1
470,10344,5409,1
471,10344,4276,1
472,10344,5136,1
473,10128,5110,1
474,492,5213,1
475,492,1069,1
476,492,5133,1
477,10379,5625,1
478,10379,5725,1
479,10062,5467,1
480,10390,3132,1
481,10403,5651,1
482,10403,5400,1
483,10411,5523,1
484,10411,5496,1
485,10411,5433,1
486,10411,5070,1
487,10410,5194,1
488,10415,5553,1
489,10415,5124,1
490,10415,5212,1
491,6131,5625,1
492,396,5424,1
493,518,5474,1
494,518,4970,1
495,10431,5622,1
496,10431,651,1
497,396,5213,1
498,10337,899,1
499,10337,5619,1
500,10337,5469,1
501,10435,5895,1
502,10435,5407,1
503,10437,5922,1
504,10437,5910,1
505,10437,5623,1
506,10437,5465,1
507,537,4444,1
508,484,5213,1
509,10445,4014,1
510,10445,1434,1
511,10445,4447,1
512,7711,5814,1
513,2343,5835,1
514,2343,5552,1
515,293,1492,1
516,10064,5554,1
517,10466,5908,1
518,10466,783,1
519,1865,5431,1
520,396,1135,1
521,396,1430,1
522,10501,5893,1
523,10501,5530,1
524,10064,5028,1
525,10064,5213,1
526,351,5555,1
527,386,5947,1
528,386,5622,1
529,10514,1959,1
530,10514,814,1
531,383,5125,1
532,383,5213,1
533,1659,3435,1
534,1659,957,1
535,1659,4445,1
536,10529,1160,1
537,10529,4059,1
538,10529,5651,1
539,10529,5069,1
540,10529,5197,1
541,375,5837,1
542,10534,5624,1
543,396,5812,1
544,396,5907,1
545,396,2503,1
546,10539,5730,1
547,10550,5650,1
548,10550,3493,1
549,10197,5534,1
550,10197,5475,1
551,10552,785,1
552,10552,5445,1
553,10552,4446,1
554,10552,5919,1
555,10514,4915,1
556,10048,4446,1
557,10218,5225,1
558,434,5919,1
559,10230,5728,1
560,1497,2870,1
561,10576,5652,1
562,10576,5844,1
563,7659,5473,1
564,10428,3431,1
565,10428,4012,1
566,489,5109,1
567,489,5917,1
568,10589,5377,1
569,10589,5472,1
570,10552,2504,1
571,10601,5447,1
572,10601,5610,1
573,378,5911,1
574,10608,4059,1
575,10178,934,1
